date,channel,campaign,creative_type,product_id,product_name,category,ad_spend,clicks,conversions,conversion_rate,attributed_revenue,ROAS,coupon_campaign,rating_signal,impressions,click_through_rate,brand_search_term
2025-06-15,Meta,브랜드 퍼포먼스,video,1,감성 무드등,조명,5522.93,55,2,0.0364,93267,1688.72,False,4.383461538461538,1291,0.0426,감성 무드등 Meta
2025-06-15,Google,검색 수요 포착,search,1,감성 무드등,조명,3707.84,56,2,0.0357,55535,1497.77,False,4.383461538461538,531,0.1055,감성 무드등 Google
2025-06-15,Naver,쿠폰 리커버리,coupon_banner,1,감성 무드등,조명,3320.71,34,4,0.1176,162182,4883.96,True,4.383461538461538,602,0.0565,감성 무드등 Naver
2025-06-15,Instagram,브랜드 퍼포먼스,carousel,1,감성 무드등,조명,4139.2,37,4,0.1081,213094,5148.19,False,4.383461538461538,679,0.0545,감성 무드등 Instagram
2025-06-15,Meta,브랜드 퍼포먼스,video,2,메모리폼 경추 베개,침실,2944.19,24,1,0.0417,30116,1022.9,False,4.529230769230768,518,0.0463,메모리폼 경추 베개 Meta
2025-06-15,Google,쿠폰 리커버리,coupon_banner,2,메모리폼 경추 베개,침실,3249.17,38,5,0.1316,131811,4056.76,True,4.529230769230768,609,0.0624,메모리폼 경추 베개 Google
2025-06-15,Naver,브랜드 퍼포먼스,brand_banner,2,메모리폼 경추 베개,침실,1853.3,12,0,0.0,0,0.0,False,4.529230769230768,162,0.0741,메모리폼 경추 베개 Naver
2025-06-15,Instagram,브랜드 퍼포먼스,influencer,2,메모리폼 경추 베개,침실,1671.68,8,0,0.0,0,0.0,False,4.529230769230768,211,0.0379,메모리폼 경추 베개 Instagram
2025-06-15,Meta,쿠폰 리커버리,coupon_banner,3,원목 핸들 머그컵,주방,1117.67,11,0,0.0,0,0.0,True,4.162307692307692,183,0.0601,원목 핸들 머그컵 Meta
2025-06-15,Google,검색 수요 포착,shopping,3,원목 핸들 머그컵,주방,1476.96,19,0,0.0,0,0.0,False,4.162307692307692,268,0.0709,원목 핸들 머그컵 Google
2025-06-15,Naver,브랜드 퍼포먼스,brand_banner,3,원목 핸들 머그컵,주방,2153.5,11,1,0.0909,12600,585.09,False,4.162307692307692,174,0.0632,원목 핸들 머그컵 Naver
2025-06-15,Instagram,브랜드 퍼포먼스,carousel,3,원목 핸들 머그컵,주방,900.0,18,0,0.0,0,0.0,False,4.162307692307692,284,0.0634,원목 핸들 머그컵 Instagram
2025-06-15,Meta,브랜드 퍼포먼스,carousel,4,무광 세라믹 접시 세트,주방,1482.67,11,0,0.0,0,0.0,False,3.708076923076923,226,0.0487,무광 세라믹 접시 세트 Meta
2025-06-15,Google,검색 수요 포착,search,4,무광 세라믹 접시 세트,주방,1609.04,18,2,0.1111,34552,2147.37,False,3.708076923076923,266,0.0677,무광 세라믹 접시 세트 Google
2025-06-15,Naver,검색 수요 포착,search,4,무광 세라믹 접시 세트,주방,2474.89,26,5,0.1923,124660,5036.99,False,3.708076923076923,298,0.0872,무광 세라믹 접시 세트 Naver
2025-06-15,Instagram,브랜드 퍼포먼스,reels,4,무광 세라믹 접시 세트,주방,1373.79,15,2,0.1333,59738,4348.41,False,3.708076923076923,271,0.0554,무광 세라믹 접시 세트 Instagram
2025-06-15,Meta,브랜드 퍼포먼스,carousel,5,북유럽 패브릭 포스터,인테리어,1064.7,8,1,0.125,11912,1118.81,False,4.283653846153846,165,0.0485,북유럽 패브릭 포스터 Meta
2025-06-15,Google,쿠폰 리커버리,coupon_banner,5,북유럽 패브릭 포스터,인테리어,900.0,8,0,0.0,0,0.0,True,4.283653846153846,117,0.0684,북유럽 패브릭 포스터 Google
2025-06-15,Naver,쿠폰 리커버리,coupon_banner,5,북유럽 패브릭 포스터,인테리어,900.0,13,1,0.0769,10598,1177.56,True,4.283653846153846,180,0.0722,북유럽 패브릭 포스터 Naver
2025-06-15,Instagram,브랜드 퍼포먼스,reels,5,북유럽 패브릭 포스터,인테리어,1495.78,13,1,0.0769,15133,1011.71,False,4.283653846153846,237,0.0549,북유럽 패브릭 포스터 Instagram
2025-06-15,Meta,브랜드 퍼포먼스,video,6,대용량 디퓨저,생활,2780.06,31,2,0.0645,44077,1585.47,False,4.431923076923076,670,0.0463,대용량 디퓨저 Meta
2025-06-15,Google,쿠폰 리커버리,coupon_banner,6,대용량 디퓨저,생활,3197.26,39,2,0.0513,37623,1176.73,True,4.431923076923076,580,0.0672,대용량 디퓨저 Google
